Barcode,Description ,Price,Remarks,UPC
817602018261,Nib Pav Bread Eggless,$3.79,,500000000224
817602018360,Nib Whole Wheat Pav Eggless,$3.99,unclear,500000000225
872198000540,Vidhya foods Dabeli Buns Eggless 700g,$4.99,product not found,
872198000526,Vidhya Foods Pav Bhaji Buns 500g,$3.99,product not found,
872198000359,Vidhya Foods Creamy Rolls 220g,$3.99,product not found,
872198003411,Vidhya Foods White Naan 510g,$2.49,s/plain naan?,500000000728
872198003428,Vidhya Foods Garlic Naan 510g,$2.49,,500000000728
817602028604,Nib Pizza Base Eggless,$4.49,eggless not found,81760202860
11433161749,Deep Cream Roll Chocolate 200g,$2.99,product not found,
817602018766,Nib Fresh Methi Thepla,$5.49,fresh not found,81760201876
817602018773,Nib Multigrain Roti ,$4.49,,81760201877
817602018742,Nib Fresh Plain Roti,$4.49,product not found,
68656020445,Golden Eggless Fruit Cake 340g,$2.99,,6865602044
8680801301098,Tafe Premium Baklava 100g,$4.99,product not found,
840033806015,Nib Bhel Mix,$3.79,,84003380601
627374101043,Nib Anjeer 12 OZ,$9.99,product not found,
723246288437,Meharban Medjool Dates 2lb,$8.99,,500000006129
723246283494,Meharban Pitted Dates,$5.99,24oz pack,72324628349
817602019190,Nib Modak ,$9.99,product not found,
817602018568,Nib South Indian Ladoo 14 oz,$8.99,,81760201856
817602018711,Nib Kappalandi Masala Fried Spicy Peanuts 12 oz,$6.99,,500000000120
817602018735,Nib Fresh Spicy Cashew,$9.99,,
817602019053,Nib Fesh Masala Cashew 14oz,$10.99,,
817602018728,Nib Fresh Masala Peanuts 14oz,$6.99,,
840033806022,Nib Mango Cake Slice With Egg ,$3.99,,
817602019510,Nib Khaman Dhokla 7 oz ,$4.99,,
817602018629,Nib Fresh Gulab Jamun 15 oz,$9.99,,
817602019145,Nib Fresh Milk Cake 10 oz,$11.99,,
817602018582,Nib Kesar Peda 10 oz,$9.99,,
840033806060,Nib Fresh Boondi Ladoo Yellow 14 oz,$8.99,,
817602018292,Nib Sweet Seerni,$6.49,,
817602018544,Nib Besan Ladoo,$8.99,,
817602018575,Fresh Milk Peda 10 oz,$9.99,,
817602018605,Nib Fresh Jalebi,$5.49,,
817602018551,Nib Fresh Boondi Ladoo Red 14oz,$8.99,,
817602019190,Nib Modak,$4.99,,
840033806152,Nib Milk Mawa Cake Slice With Egg,$3.99,,
840033806046,Tutti Fruiti Cake Slice With Egg,$3.99,,
817602018957,Nib Fresh Badana Bhujia,$3.99,,
817602018988,Nib Masala Boondi,$5.99,,
817602018636,Nib Kaju Katli,$11.99,,
70378440203,Busy Baker White Bread 16 oz,$1.99,,
183860000820,Early On Whole Wheat Bread 16 oz,$1.99,,
817602019114,Nib Punjabi Sabji Pakoda 10 oz,$5.49,,
817602018650,Nib Matri 15 oz,$5.49,,
8904063215376,Haldiram's Sesame Gajjak 400g,$4.99,,
817602019565,Nib Tea Rusk Eggless,$3.99,,
817602019572,Nib Tutti Fruitti Tea Rusk Eggless,$4.49,,
856904001151,Verka Atta Biscuits 5lb ,$12.99,,
788000969236,Sabah Organic Pitted Date 24 oz,$6.99,,
610563602407,Premium Medjool Date 1 lb,$5.99,,
8906084410907,MOM Roasted Makhana - Cheddar Cheese 65g,$2.99,,
68656002229,Surati Potato Tubes - Cheddar Jalapeno 80g,$1.99,,
68656002243,Surati Potato Chips - Sriracha Splash 80g,$1.99,,
68656002250,Surati Potato Tubes - Spicy Chili Crunch 80g,$1.99,,
8904063203069,Haldiram's Magic Makhana - Classic Pudina 30g,$1.99,,
8904063203113,Haldiram's Magic Makhana - Salt N' Pepper 30g,$1.99,,
8904063203090,Haldiram's Magic Makhana - Mast Masala 30g,$1.99,,
8901491100519,Kurkure - Masala Munch 90g ,$1.59,,
8901491100533,Kurkure - Chilli Chatka 90g,$1.59,,
8901491103442,Kurkure - Naughty Tomato 90g,$1.59,,
8901491103084,Kurkure - Green Chutney Style 90g,$1.59,,
8901491101813,Lays - American Style Cream & Onion 52g,$1.59,,
8901491981552,Lays - Chile Limon 52g,$1.59,,
8901491101844,Lays - India's Magic Masala 52g,$1.59,,
8901491101837,Lays - Classic Salted 52g,$1.59,,
8901491101820,Lays - Spanish Tomato Tango 52g,$1.59,,
8901491001786,Lays Wafer Style - Salt with Pepper 52g,$1.59,,
8901491001731,Lays Wafer Style - Sundried Chilli 52g,$1.59,,
817602018926,Nib Pani Puri,$3.49,,
872198000045,Vidhya Foods Pani Puri 240g,$7.99,,
872198000038,Vidhya Foods Pani Puri 160g ,$5.99,,
628950001238,Mampster Pani Puri 10 oz,$9.99,,
818720000022,Brar Sweet Corn Flour 8 lb,$9.99,,
818720000015,Brar Sweet Corn Flour 4lb ,$5.99,,
8901491504782,Lays - Hot 'n' Sweet Chilli 52g,$1.59,,
817602018322,NIB - Fruit Cake With Egg,$6.99,,
721222444563,Diamond Bakery Baklava 12oz,$6.99,,
8906065032685,Karachi Bakery - Fruit & Cashew 2-in-1 Biscuits 400g,$4.99,,
8906065031046,Karachi Bakery - Fruit & Kaju Badam 2-in-1 Biscuits 400g,$4.99,,
8906065031039,Karachi Bakery - Fruit & Kesar Pista 2-in-1 Biscuits 400g,$4.99,,
8908003115610,Karachi Bakery - Chai Biscuits 400g,$4.99,,
8906065031138,Karachi Bakery - Fruit Biscuits 400g,$4.99,,
627374100183,NIB - Black Raisin 7oz ,$3.99,,
627374100824,NIB - Munakka 7oz,$3.99,,
627374100886,NIB - Pistachio Green 7oz,$6.99,,
627374102125,Dry Fruits Box ,$14.99,,
627374100572,NIB - Walnut Halves 14oz,$6.99,,
627374100169,NIB - Golden Raisin 14oz,$3.99,,
627374100336,NIB - Cashew Split 14oz,$5.99,,
627374100565,NIB - Green Raisin 14oz,$5.99,,
627374101098,NIB - Raw Almond 28oz,$9.49,,
840965004152,MTR 3 Minute Breakfast - Khatta Meetha Poha 160g,$1.49,,
840965004145,MTR 3 Minute Breakfast - Poha 160g,$1.49,,
8904109409998,Patanjali - Atta Noodles Classic 240g,$3.49,,
8906032019176,Patanjali - Atta Noodles Chatpata 240g,$3.49,,
840965003728,MTR 3 Minute Breakfast - Khatta Meetha Poha 80g,$0.99,,
11433162333,Deep - Bisi Bele Bath 100g,$1.99,Add 0 in Front,
11433151443,Deep - Khatta Mitha Poha Sev 100g,$1.99,Add 0 in Front,
840033812719,Veer - Organic Sunflower Oil 1 liter,$10.99,,
8906102210885,Marvel Tea - Yellow 500g,$4.99,,
627265001421,Crispy Fruit Cake,$3.99,,
817602018346,NIB - White Bread Eggless,$2.79,,
8904063204523,Haldiram's - Mathi Chat Papdi 130g,$3.49,,
8904063210111,Haldiram's - Karachi Halwa 500g,$8.99,,
846203000115,Chitale Bandu - Bakarwadi 200g,$2.99,,
944325743740,"Satya Sweets, GaneshSweets - Spicy Mullu Murukku 8 oz",$4.99,,
846203001860,Chitale Bandu - Kaju Amba Burfi 250g,$6.99,,
7880009688880,Sabah - Figs and Nuts Snack 80g,$1.89,,
8697407039041,Ephesus - Badam Snack 40g,$1.49,,
8697407037122,Efe - Snacks with Mixed Nuts 60g,$1.79,,
723246187013,Parle - Parle G 56.4g,$0.20,,
8906065031589,Karachi Bakery - Kaju Nankatai 200g,$4.99,,
890023004440,Shreeji - Litchi Candy 200g,$1.99,,
890023004464,Shreeji - Lemon Candy 200g,$1.99,,
840033811989,Veer - Orange Candy 100g,$2.99,,
7622210117793,Cadbury - Eclairs 130g,$2.99,,
80788737,Kinder Joy - 20g,$1.99,,
840033812726,Veer - Coconut Oil 1 liter,$10.99,,
6291007905878,Britannia - Bourbon 780g,$4.79,,
8901063136441,Britannia - Bourbon 390g,$2.79,,
856904001427,Verka - Organic Cashews 454g,$9.49,,
11433160964,Deep - Bhakri Masala 200g,$1.79,Add 0 in Front,
11433160971,Deep - Bhakri Methi 200g,$1.79,Add 0 in Front,
11433160940,Deep - Bhakri Plain 200g,$1.79,Add 0 in Front,
11433160957,Deep - Bhakri Jeera 200g,$1.79,Add 0 in Front,
8904082785645,Kemchho - Dry Jeera Bhakri 200g,$1.49,,
8904082785669,Kemchho - Dry Plain Bhakri 200g,$1.49,,
8904082785652,Kemchho - Dry Methi Bhakri 200g,$1.49,,
8904082785676,Kemchho - Dry Masala Bhakri 200g,$1.49,,
8901063151369,Britannia - Good Day Butter Cookies 231g,$1.99,,
8901063151376,Britannia - Good Day Pistachio Almond Cookies 231g,$1.99,,
8901063151352,Britannia - Good Day Cashew Cookies 231g,$1.99,,
8901063151475,Britannia - Good Day Cashew Cookies 600g,$4.99,,
8901063151482,Britannia - Good Day Butter Cookies 600g,$4.99,,
8901063151499,Britannia - Good Day Pistachio Almond Cookies 600g,$4.99,,
8901262070430,Amul - Milk Chocolate 150g,$3.49,,
8901262070539,Amul - Fruit N Nut 150g,$3.49,,
