Barcode,Description ,Price,Remarks,
11433152433,Deep Chutney - Dry Garlic 150g,$2.99,Add 0 in Front,
11433113793,Deep Achaar - Hot Mango Pickle 10oz,$2.99,Add 0 in Front,
11433113809,Deep Achaar - Mango Gor-keri Pickle 340g,$3.29,Add 0 in Front,
11433113816,Deep Achaar - Hot Lime Pickle 283g,$2.99,Add 0 in Front,
11433113823,Deep Achaar - Sweet Lime Pickle 340g,$2.99,Add 0 in Front,
11433113908,Deep Achaar - Khaman Gunda Pickle 283g,$2.99,Add 0 in Front,
11433152426,Deep - Pickle Masala 200g,$2.49,Add 0 in Front,
11433113892,Deep Achaar - Shredded Mango Chundo Pickle 350g,$2.99,Add 0 in Front,
11433113960,Deep Achaar - Mixed Pickle 720g,$4.49,Add 0 in Front,
11433159753,Deep Achaar - Carrot Pickle 723g,$4.49,Add 0 in Front,
8711000672853,Jacobs - Cronat Gold 200g,$8.49,,
840033806046,NIB - Tutti Fruiti Cake Slice Wth Egg,$3.99,,
817602018933,NIB - Jalapeno Cheese Kulcha ,$3.99,,
8000500310427,Nutella Ferrero Biscuits 304g,$7.99,,
642583000864,Di Buon Gusto - Extra Virgin Olive Oil 1L,$13.99,,
8906102210069,Marvel Tea - Yellow 1kg,$6.99,,
932767952127,Shreeji - Double Mari (Urad Crackers) Without Hing 200g,$0.99,,
932767952110,Shreeji - Single Mari(Urad Crackers) Without Hing 200g,$0.99,,
8904085905118,Ambika - Pudhina Rice Paste 300g,$0.99,,
8904085905118,Ambika - Curry Leaf Rice Paste 300g,$0.99,,
8904085905101,Ambika - Coriander Rice Paste 300g,$0.99,,
8904085905071,Ambika - Puliyodharai Rice Paste 300g,$0.99,,
8904085905088,Ambika - Tomato Rice Paste 300g,$0.99,,
8904085905040,Ambika - Vathakuzhambu Rice Paste 300g,$0.99,,
8904304716594,Shastha - Multi Millet Pasta,$2.99,,
8904304715122,Shastha - Ragi Noodle,$2.49,,
8904304715153,Shastha - Red Rice Noodle,$2.49,,
8904304715139,Shastha - Multi Millet Noodle,$2.49,,
8904304715146,Shastha - Pearl Millet Noodle ,$2.49,,
8901738850603,Shastha - Red Poha 2 lbs,$3.99,,
8906147050064,Deccan Fresh - Methi Upma,$2.49,,
817602019268,NIB - Sutarfaini ,$3.99,,
818720000015,Brar - Sweet Corn Flour 4lb,$5.99,,
818720000022,Brar - Sweet Corn Flour 8lb,$9.99,,
767477007696,Dhanraj - Makki Da Atta 2lb,$3.99,,
8904083510390,24 Mantra - Corn Flour 4lb,$4.49,,
840033812535,Veer - Organic Corn Flour 2lb,$3.49,,
723246121000,Laxmi - Besan 10lb,$10.99,,
818720000053,Sher - Besan 8lb,$10.99,,
818720000046,Sher - Besan 4lb,$5.99,,
,AgroPure - Besan 4lb,$5.49,No barcode,
8901738200026,Veer - Phool Makhana 7 oz,$5.99,,
827016116064,Vinod - Kadai 3ltr with lid,$39.99,Taxable,
