Barcode,Description ,Price,,,Remarks
8901777020685,Vadilal Tindora 32oz,$4.99,,,
8901777017661,Vadilal Drumsticks 11Oz ,$2.99,,,
8901777005668,Vadilal Surti Papdi Lilva 11Oz,$2.99,,,
8901777201664,Vadilal Alphonso Mango Slices 11Oz,$3.49,,,
8901777281161,Vadilal Alphonso Mango Pulp 1Kg,$6.49,,,
11433115360,Deep Karela 12 Oz,$2.69,,,Front - 0
11433115353,Deep Drumsticks 12Oz,$2.69,,,Front - 0
11433159883,Deep Tuvar Lilva 12 Oz,$2.69,,,Front - 0
11433117418,Deep Surti papadi 12 Oz,$2.69,,,Front - 0
11433117562,Deep Bhindi 12 Oz,$2.69,,,Front - 0
11433117395,Deep Surti Undhiu Mix 12 Oz,$2.69,,,Front - 0
817602017301,Veer guvar 10 Oz,$2.49,,,
817602017356,Veer Suran 10 Oz,$2.49,,,
817602017332,Veer Bhindii 10 Oz,$2.49,,,
817602017295,Veer Tindora 10 Oz,$2.49,,,
817602017325,Veer Valor Papdi 10 Oz,$2.49,,,
840033813518,Veer french fries 2 Lb,$4.49,,,
817602021841,Veer Green peas 2Lb,$4.49,,,
817602021896,Veer Corn 2 Lb,$4.49,,,
86289103137,Valley Pakt Peas&Carrot 40 Oz,$4.99,,,Front - 0
691027524718,Sha Banganpali Mango Pulp 11 Oz,$3.49,,,
691027524893,Sha Chinna rasalu 11 Oz,$3.49,,,
691027524909,Sha Cheruku Rasalu 11 Oz,$3.49,,,
8901777247662,Vadilal Falsa 11 Oz,$4.49,,,
11433117494,Deep Methi 12 Oz,$2.99,,,Front - 0
11433151474,Deep Tindora 24 Oz,$3.99,,,Front - 0
11433117517,Deep Kantola 12 Oz,$1.69,,,Front - 0
11433115377,Deep Surati Papadi Lilva 12 Oz,$2.69,,,Front - 0
11433159869,Deep Amla 12 Oz,$2.69,,,Front - 0
11433159920,Deep Snakegourd 12 Oz,$2.69,,,Front - 0
11433117524,Deep Guvar 12 Oz,$2.69,,,Front - 0
11433115346,Deep Parval 12 Oz,$2.69,,,Front - 0
11433161664,Deep Shredded Coconut 1 Lb,$5.79,,,Front - 0
8901777088661,Vadilal Tender Jackfruit Cuts 11 Oz,$2.99,,,
8901777044667,Vadilal Ratalu 11 Oz,$2.99,,,
8901777024669,Vadilal Bhindi Cuts 11 Oz,$2.99,,,
8901777074664,Vadilal Sambhar Mix 11 Oz,$2.99,,,
8901777017685,Vadilal Drumsticks 32 Oz,$4.99,,,
8901777002681,Vadilal Tuver Lilva 32 Oz,$4.49,,,
878776003323,Anand Sliced Coconut 16 Oz,$2.99,,,
11433159968,Deep Lotus root 12 Oz,$3.29,,,Front - 0
11433160797,Deep premium Green garlic 12 Oz,$2.69,,,Front - 0
8901777460894,Vadilal Veg Spring Rolls 569gm,$6.99,,,
11433162494,Deep Gobi Prantha 14.1 Oz,$2.49,,,Front - 0
11433150019,Deep Homestyle Puran Poli 16.5 Oz,$2.49,,,Front - 0
11433160070,Deep Bhagwati's Methi Thepla 9 Oz,$3.99,,,Front - 0
11433150279,Deep Bhagwatis Bajri Rotla 11.75 Oz,$1.99,,,Front - 0
11433150040,Deep Masala Prantha 13.2 Oz,$2.49,,,Front - 0
8901777444061,Vadilal Mathia 7.05 Oz,$2.49,,,
11433150811,Deep homestyle prantha 2Lb,$7.49,,,
68656009471,Surati Vegetable Tava 20 Oz,$3.49,,,Front - 0
68656009167,Surati Undhiyu Mix 12 Oz,$2.49,,,Front - 0
11433118279,Mirch masala mooli 14.1 Oz,$1.79,,,Front - 0
11433118286,Mirch masala Dal prantha 14.1 Oz,$1.79,,,Front - 0
11433118262,Mirch masala Gobi 14.1 Oz,$1.79,,,Front - 0
8906110070037,Home roots Aloo Prantha 380gm,$1.99,,,
8906110070471,Home roots Mix Veg Prantha 380gm,$1.99,,,
817602017271,Veer Shredded Coconut 10 Oz,$2.49,,,
11433162678,Deep lachhcha prantha 3 Lb,$7.99,,,Front - 0
8906043881465,Garvi Gujrat Puran Poli 380gm,$2.99,,,
11433150781,Deep Bhagwatis Methi Gota 12 Oz,$2.49,,,Front - 0
68656009426,Surati Undhiyu 20 Oz,$3.99,,,Front - 0
856904002486,Verka Aloo Prantha 400gm ,$3.49,,,
856904002523,Verka Amritsari Kulcha 400gm,$3.49,,,
