Code,Description,Price,Remark,
10,Aloe Vera,$0.99,Each,
11,Cherimoya (Cluster Apple),$7.99,Per lb,
12,Chestnut,$6.99,Per lb,
13,Dragonfruit,$6.99,Per lb,
14,Mango Leaves,$1.00,Each,
21,Kent/Haden Mango Each,$0.99,Each,
22,Manilla Mango Each,$0.79,Each,
99,Avocado,$1.39,Each,
990,Avocado Bag,$2.99,Each,
100,Celery,$1.49,Each,
101,Pomegranate,$2.99,Each,
102,Apple Fuji,$1.29,Per lb,
103,Apple Gala,$1.29,Per lb,
1030,Apple Honey Crisp,$0.89,Per lb,
104,Apple Red,$1.29,Per lb,
1040,Apple Green,$1.29,Per lb,
105,Baby Dil,$1.89,Each,
106,Baby Banana,$1.69,Per lb,
107,Banana Flower,$1.49,Per lb,
108,Banana Green,$0.89,Per lb,
109,Banana Regular,$0.89,Per lb,
110,Beans Green,$2.49,Per lb,
111,Beans Long,$2.99,Per lb,
112,Banana Plantain,$1.29,Per lb,
113,Beets,$0.99,Per lb,
1130,Beets Golden,$0.99,Per lb,
114,Bellpepper Green,$1.49,Per lb,
115,Bittermelon,$1.89,Per lb,
116,Black Grapes,$2.99,Per lb,
117,Brocolli,$1.89,Per lb,
118,Cabbage,$0.89,Per lb,
119,Cantaloupe,$1.99,Each,
1190,Tuscan Melon,$1.99,Each,
120,Carrot,$0.69,Per lb,
1200,Carrot Desi,$2.99,Per lb,
121,Carrot Baby,$0.89,Each,
122,Cauliflower,$1.99,Each,
123,Chilli Jalapeno,$0.99,Per lb,
124,Chilli Long,$3.99,Per lb,
125,Chilli Yellow,$0.99,Per lb,
126,Chilli Parsilla,$0.99,Per lb,
127,Chilli Serano,$1.29,Per lb,
128,Chilli Thai,$2.99,Per lb,
129,Choyote,$0.69,Each,
130,Cilantro,$0.49,Each,
131,Coconut,$2.49,Each,
132,Coconut Tender,$3.49,Each,
133,Corn,$0.99,Each,
134,Cucumber,$0.59,Each,
135,Cucumber English,$0.99,Each,
136,Curry Leaves,$0.89,Each,
137,Daikon,$0.79,Per lb,
138,Dates,$4.99,Per lb,
139,Asparagus,$2.99,Per lb,
140,Dosakai Round,$1.49,Per lb,
141,Drumsticks,$2.99,Per lb,
,Drumstick Leaves,,Warehouse generated code,
142,Brussel Sprouts,$1.99,Per lb,
143,Eggplant Big,$1.89,Each,
144,Eggplant Chinese,$1.49,Per lb,
145,Eggplant Round,$1.49,Per lb,
146,Eggplant Thai,$1.99,Per lb,
147,Eggplant Italian,$1.49,Per lb,
148,Garlic,$1.99,Per lb,
149,Ginger,$1.89,Per lb,
1490,Ginger Organic,$2.99,Per lb,
150,Tomatillos,$0.99,Per lb,
151,Gongura Leaves,$1.99,Each,
152,Grapes Green,2.99,Per lb,
153,Grapes Red,2.99,Per lb,
154,Kiwi,$1.79,Per lb,
155,Green Papaya,$0.99,Per lb,
156,Guava Small,$3.99,Per lb,
1560,Guava Big ,$3.99,Per lb,
157,Guar,$2.99,Per lb,
158,Honey Dew,$3.99,Each,
159,Indian Spinach,$2.99,Each,
160,Kohilarabi,$0.99,Per lb,
161,Lemon,$0.30,Each,
162,Lettuce,$1.99,Each,
163,Lime,$0.25,Each,
164,Mango Green,$3.99,Per lb,
1640,Baby Green Mango,$3.99,Per lb,
165,Kent Mango Box,$6.99,Each,
1650,Haden Mango Box,$6.99,Each,
166,Methi,$1.29,Each,
167,Mint,$0.99,Each,
168,Mushroom,$1.89,Each,
33383675008,Mushroom,$1.89,Add 0 in Front,
20011900000,Mung Sprouts,,Warehouse Generated Code,Add 0 in front
20013900000,Moth Sprouts,,Warehouse Generated Code,Add 0 in front
169,Mustard Saag,$2.69,Each,
170,Okra,$2.99,Per lb,
171,Onion Green,$1.29,Each,
172,Onion Red,$0.79,Per lb,
173,Onion Red Pearl,$2.29,Each,
174,Onion White,$0.99,Per lb,
175,Onion White Pearl,$2.29,Each,
176,Onion Yellow Pearl,$2.29,Each,
177,Onion Yellow,$0.69,Per lb,
178,Opo,$1.49,Per lb,
179,Orange,$0.99,Per lb,
180,Paan Leaves,$1.00,Each,
181,Papaya Hawaian,$3.99,Per lb,
182,Papaya Mexican,$1.29,Per lb,
183,Pears Green ,$1.49,Per lb,
1830,Pears Red,$0.69,Per lb,
184,Peas English,$2.49,Per lb,
20012000000,Peeled Garlic,,Warehouse Generated Code,Add 0 in Front
185,Red Leaves,$2.99,Per lb,
1850,Red Leaves Small,$1.99,Each,
186,Pickle Cucumber,$1.49,Per lb,
187,Pickle Persian Cucumber,$1.89,Per lb,
188,Pineapple,$2.99,Each,
189,Potato Bag 10lb,$2.99,Each,
190,Potato Bag 5lb,$1.69,Each,
191,Potato Red,$0.69,Per lb,
