Barcode,Description,Price,Remarks
8901441013012,Lizzat red chillies papad 200g,$1.99,
8901441011018,Lizzat udad papad 200g,$1.99,
81760201695,Veer Fryums - Square Colored 200g,$2.29,
878776007802,Anand fryums wheel-colour 400g,$2.49,
817602016953,Veer Fryums - Tubes 200g,$2.29,
817602016953,Veer Fryums - Tubes Colored 200g,$2.29,
878776007789,Anand fryums star-colour 400g,$2.49,
878776007772,Anand fryums bhindi cut-colour 400g,$2.99,
8904082785577,Kemchho plain khichiya 200g,$2.79,
817602016953,Veer Fryums - Wheels Colored 200g,$2.29,
840033806411,Veer panipuri raw 200g,$2.99,
8901738410005,Pankaj udad cracker 200g,$1.00,
8901738410005,Pankaj appalam 200g,$1.00,
8904082785546,Kemchho red chili garlic khichiya 200g,$2.79,
878776002449,Anand rice roti (rice bread) 500g,$4.49,
11433159692,Deep khakhara jeera 200g,$1.99,Front-0
,New india bazar urad split,,Warehouse generated barcode
,Veer urad whole,,Warehouse generated barcode
,New india bazar urad whole,,Warehouse generated barcode
,New india bazar masoor small ,,Warehouse generated barcode
,Veer masoor small,,Warehouse generated barcode
,New india bazar kidney bean light,,Warehouse generated barcode
,Veer dal masoor,,Warehouse generated barcode
,New india bazar yellow peasmalavi,,Warehouse generated barcode
,Veer vaal whole,,Warehouse generated barcode
,New india bazar soya bean,,Warehouse generated barcode
,New india bazar green peas ,,Warehouse generated barcode
5000231039508,Brylcreem 150ml,$8.99,
768855204898,Bhakti rangoli color 454g,$3.49,
8908017037014,Holy gala rangoli pen 175g,$2.99,
8904013000007,Sat isabgol psyllium husk 200g,$5.99,
8904013000014,Sat isabgol psyllium husk 100g,$2.49,
8901453040839,Safi dietary supplement syrup 500ml,$10.99,Taxable
8901453040822,Safi dietary supplement syrup 200ml,$4.99,Taxable
8906038784238,Srisri tattva chyawanprash 500g,$24.99,
840222000170,LG compounded asafoetida powder 500g,$15.99,
840222000156,LG compounded asafoetida powder 100g,$3.99,
840222000149,LG compounded asafoetida powder 50g,$1.99,
11433160537,Deep original hing 45g,$2.29,Front-0
11433160520,Deep original hing 90g,$3.49,Front-0
8906044469020,Vandevi compounded asafoetida 100g,$2.99,
859581006099,Brooke bond red label black tea(216 tea bags)675g,$7.99,
68400612827,Brooke bond red label loose leaf black tea 1.8 kg,$15.99,Front-0
8901030083044,Brooke bond red label tea 900g,$8.49,
68400611776,Brooke bond red label 450g,$4.49,Front-0
68400611806,Brooke bond red label black tea (100 tea bags) 200g,$4.99,Front-0
859581006068,Brooke bond red label black tea (72 tea bags) 225g,$2.99,
8901030194160,Brooke bond 3 roses tea 500g,$7.99,
8901030868894,Brooke bond 3 roses tea 250g,$4.49,
8901030674570,Brooke bond red label natural care 250g,$3.99,
8901030578205,Brooke bond red label natural care 500g,$6.49,
8901052020294,Tata tea chakra gold tea 500g,$5.99,
84643940053,Tea india orange pekoe black tea (216 tea bags)680g,$7.99,Front-0
84643941005,Tea india masala chai tea (80 tea bags) 182g,$5.49,Front-0
84643941043,Tea india ginger chai (80 tea bags) 182g,$5.49,Front-0
84643941067,Tea india orange pekoe black tea(80 tea bags) 223g,$5.49,Front-0
84643941029,Tea india cardamom chai (80 tea bags) 182g,$5.49,Front-0
8901757010026,Jivraj 9 ctc leaf tea 454g,$4.49,
11156000318,Tetley premium black tea (80 tea bags) 240g,$5.49,Front-0
68400612834,Brooke bond taj mahal black tea 900g,$9.49,Front-0
68400612810,Brooke bond taj mahal black tea(100 tea bags) 200g,$4.99,Front-0
68400611684,Brooke bond taj mahal tea 450g,$4.99,Front-0
84643200133,Tea india chai moments ginger(10 sachets),$4.99,Front-0
84643200126,Tea india chai moments cardamom (10 sachets),$4.99,Front-0
84643200324,Tea india chai moments ginger turmeric(10 sachets),$4.99,Front-0
84643200348,Tea india chai moments cinnamon (10 sachets),$4.99,Front-0
84643200102,Tea india chai moments masala (10 sachets),$4.99,Front-0
8908002584172,Lasa lamsa mix tea 450g,$5.99,
8908002584134,Lamsa flavoured tea 450g,$5.99,
8901747002710,Wagh bakri cardomom tea bags 200g,$5.99,
8901747002703,Wagh bakri ginger tea bags 200g,$5.99,
8901747000440,Wagh bakri premium tea bags (100 tea bags)200 g,$2.99,
68400563419,Lipton yellow label tea 450g,$5.49,Front-0
68400563716,Lipton yellow label tea (100 tea bags) 200 g,$5.49,Front-0
